glottocode,name,level,countries,macroareas,latitude,longitude,iso639_3,status
abin1243,Abinomn,language,ID,Papunesia,-2.92281,138.891,bsa,nearly extinct
abis1238,Aewa,language,PE,South America,-1.284096,-75.084405,ash,extinct
abaz1241,Abaza,language,"RU,TR",Eurasia,44.25,42.0,abq,threatened
abkh1244,Abkhaz,language,"GE,RU,TR",Eurasia,43.056218,41.159115,abk,threatened
adyg1241,West Circassian,language,"IL,JO,RU,SY,TR",Eurasia,44.0,39.33,ady,threatened
kaba1278,Kabardian,language,"RU,TR",Eurasia,43.5082,43.3918,kbd,threatened
ubyk1235,Ubykh,language,TR,Eurasia,43.67,39.67,uby,extinct
abun1252,Abun,language,ID,Papunesia,-0.57073,132.416,kgr,shifting
adai1235,Adai,language,US,North America,31.6314,-92.0059,xad,extinct
awji1241,Awjilah,language,LY,Africa,29.2341,21.1819,auj,shifting
ghad1239,Ghadames,language,"DZ,LY,TN",Africa,30.1168,10.0165,gha,shifting
sawk1238,Sawknah-Fogaha,language,LY,Africa,29.16,15.9742,swn,extinct
siwi1239,Siwi,language,EG,Africa,29.200415,25.519627,siz,threatened
chen1266,Western Algerian Berber,language,DZ,Africa,36.5917,2.19899,cnu,threatened
taga1278,Ouargli,language,DZ,Africa,31.9454,5.28444,oua,shifting
tema1243,Oued Righ,language,DZ,Africa,33.3489,6.06562,tjo,shifting
tazn1238,Sud Oranais-Gourara,language,"DZ,MA",Africa,29.1107,0.01992,grr,threatened
tidi1241,Tidikelt-Tuat Tamazight,language,DZ,Africa,27.019,1.86218,tia,shifting
tumz1238,Tumzabt,language,DZ,Africa,32.5014,3.85035,mzb,threatened
tach1249,Chaouia of the Aures,language,"DZ,TN",Africa,35.1867,6.88901,shy,not endangered
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,language,"DZ,ES,MA",Africa,34.916974,-3.430616,rif,not endangered
sene1271,Sened,language,TN,Africa,34.4678,9.43778,sds,extinct
cent2194,Central Moroccan Berber,language,"DZ,MA",Africa,32.7415,-2.40872,tzm,threatened
ghom1257,Ghomara,language,MA,Africa,34.7979,-4.6696,gho,shifting
senh1238,Senhaja De Srair,language,MA,Africa,34.9992,-4.51293,sjs,threatened
tach1250,Tachelhit,language,"DZ,MA",Africa,29.7854,-7.77879,shi,not endangered
kaby1243,Kabyle,language,DZ,Africa,36.4103,4.76137,kab,threatened
nafu1238,Nafusi,language,"LY,TN",Africa,31.93488,11.78231,jbn,moribund
tama1365,Tamasheq,language,"BF,ML",Africa,14.2038,-2.41269,taq,not endangered
tawa1286,Tawallammat Tamajaq,language,"BF,ML,NE,NG",Africa,13.9878,4.47692,ttq,not endangered
taya1257,Tayart Tamajeq,language,NE,Africa,16.9232,7.6743,thz,threatened
taha1241,Tahaggart Tamahaq,language,"DZ,LY,ML,NE,NG",Africa,22.5908,8.73169,thv,threatened
guan1277,Guanche,language,ES,Africa,28.0,-15.5,gnc,extinct
tets1235,Tetserret,language,"NE,NG",Africa,14.973333,5.699722,tez,threatened
zena1248,Zenaga,language,"EH,MR,SN",Africa,16.82,-16.1711,zen,moribund
mbuk1243,Mbuko,language,CM,Africa,10.7788,14.1677,mqb,not endangered
vame1236,Vame,language,CM,Africa,10.9481,14.2131,mlr,not endangered
mbar1260,Mbara (Chad),language,TD,Africa,10.91,15.54,mpk,shifting
musg1254,Musgu,language,"CM,TD",Africa,10.8439,15.1065,mug,not endangered
musk1256,Muskum,language,TD,Africa,11.5697,15.4113,mje,extinct
gida1247,Gidar,language,"CM,TD",Africa,9.874715,14.07845,gid,not endangered
hyaa1239,Hya,language,"CM,NG",Africa,10.4814,13.526,hya,moribund
bana1305,Bana,language,CM,Africa,10.3535,13.6131,bcw,threatened
kamw1239,Kamwe,language,"CM,NG",Africa,10.646,13.5136,hig,not endangered
kiry1234,Kirya-Konzel,language,NG,Africa,10.48,13.36,fkk,not endangered
psik1239,Psikye,language,"CM,NG",Africa,10.677,13.569,kvj,not endangered
budu1265,Buduma,language,"CM,NG,TD",Africa,13.0692,14.4492,bdm,threatened
jina1244,Jina,language,"CM,TD",Africa,11.3555,14.9611,jia,threatened
maje1243,Majera,language,"CM,TD",Africa,11.1433,15.044,xmj,shifting
