iso639_3,language_name,speaker_count
aaa,Ghotuo,22000
aab,Arum,11000
aac,Ari,100
aad,Amal,1600
aae,"Albanian, Arbereshe",101000
aag,Ambrak,600
aah,"Arapesh, Abu'",5100
aai,Miniafia Oyan,7100
aak,Ankave,2000
aal,Afade,48800
aao,"Arabic, Algerian Saharan",1144000
aap,"Arara, Para",400
aar,Afar,8910000
aat,"Albanian, Arvanitika",138000
aau,Abau,12000
aaw,Solong,7500
aax,Mandobo Atas,28200
aaz,Amarasi,83000
aba,Abe,350000
abb,Bankon,24000
abc,"Ayta, Ambala",3500
abd,Manide,4800
abf,Abai Sungai,1600
abg,Wagama,200
abh,"Arabic, Tajiki",13400
abi,Abidji,111000
abk,Abkhaz,1035600
abl,Lampung Nyo,210000
abm,Abanyom,37000
abn,Abua,56000
abo,Abon,2400
abp,"Ayta, Abellen",6500
abq,Abaza,144000
abr,Abron,3822000
abs,"Malay, Ambonese",804460
abt,Ambulas,72000
abu,Abure,121000
abv,"Arabic, Baharna",2118000
abw,Pal,2400
abx,Inabaknon,27000
aby,Aneme Wake,1700
abz,Abui,30000
aca,Achagua,1000
acb,Anca,500
acd,Gikyode,18000
ace,Aceh,4194000
acf,Lesser Antillean French Creole,2573200
ach,Acholi,4812000
acm,"Arabic, Mesopotamian",481514300
acn,Achang,173800
acp,"Acipa, Eastern",22000
acq,"Arabic, Ta'izzi-Adeni",151843500
acr,Achi,168000
acu,Achuar-Shiwiar,23600
acw,"Arabic, Hijazi",63550000
acx,"Arabic, Omani",21472200
acy,"Arabic, Cypriot",1000
acz,Acheron,29000
ada,Dangme,1401000
adb,Atauran,9200
add,Lidzonka,10600
ade,Adele,136000
adf,"Arabic, Dhofari",140000
adh,Jopadhola,680000
adi,Adi,352190
adj,Adioukrou,204000
adl,"Adi, Galo",103000
adn,Adang,3300
ado,Abu,8600
adq,Adangbe,26800
adr,Adonara,120000
adu,Aduge,4300
adw,Amundava,100
adx,"Tibetan, Amdo",1433600
ady,Adyghe,4581900
adz,Adzera,61500
aeb,"Arabic, Tunisian",155073900
aec,"Arabic, Sa'idi",51164200
aed,Argentine Sign Language,27508450
aee,"Pashai, Northeast",54000
ael,Ambele,11000
aem,Arem,1800
aer,"Arrernte, Eastern",3100
aeu,Akeu,76400
aew,Ambakich,1500
aey,Amele,16000
aez,Aeka,5900
afb,"Arabic, Gulf",96330680
afd,Andai,500
afe,Utugwang-Irungene-Afrike,100000
afg,Afghan Sign Language,27508450
afi,Chini,500
afk,Nanubae,1500
afo,Ajiri,115000
afp,Tapei,300
afr,Afrikaans,61432800
afs,Afro-Seminole Creole,1600
aft,Afitti,5900
afu,Awutu,177000
afz,Obokuitai,200
agb,Legbo,110000
agc,Agatu,198000
agd,Agarabi,55000
age,Angal,38000
agf,Arguni,200
agg,Angor,3700
agh,Ngelima,33000
agi,Agariya,219000
agj,Argobba,242000
agk,"Agta, Katubung",1400
agl,Fembe,1000
agm,Angaataha,3300
agn,Agutaynen,20000
ago,Tainae,2700
agq,Aghem,54000
agr,Awajun,65000
ags,Esimbi,62800
agt,"Agta, Central Cagayan",1200
agu,Awakateko,13000
agv,"Dumagat, Remontado",3900
agw,Kahua,11000
agx,Aghul,34000
agy,"Alta, Southern",1000
agz,"Agta, Mt. Iriga",3700
aha,Ahanta,252000
ahb,Axamb,1000
ahh,Aghu,5100
ahi,"Aizi, Tiagbamrin",17000
ahk,Akha,3194100
ahl,Igo,8300
ahm,"Aizi, Mobumrin",3800
ahn,Ahan,600
ahp,"Aizi, Aproumu",12000
ahs,Ashe,56000
aht,Ahtena,700
aia,Arosi,14000
aib,Ainu (China),12000
aic,Ainbai,200
aie,Amara,400
aif,Agi,1800
aig,Leeward Caribbean English Creole,411900
aih,Ai-Cham,3100
aii,Assyrian Neo-Aramaic,12551400
aij,Inter-Zab Jewish Neo-Aramaic,3800
aik,Akye,4400
ail,Eibela,300
aim,Aimol,3100
ain,Ainu (Japan),26600
aio,Aiton,3400
aiq,Aimaq,9503200
air,Airoran,4400
aiw,Aari,558000
aix,Aighon,3800
aiy,Ali,56000
ajg,Aja (Benin),2900000
aji,Ajie,6900
aju,"Arabic, Judeo-Moroccan",754000
aka,Akan,66292000
akb,Batak Angkola,1274000
akc,Mpur,31000
akd,Ukpet-Ehom,23000
ake,Akawaio,24600
akf,Akweya,55000
akg,Anakalangu,18000
akh,Angal Heneng,95500
aki,Aiome,1900
akl,Aklanon,1422000
akp,Siwu,99000
akq,Ak,100
aks,Akaselem,85000
akt,Akolet,3200
aku,Akum,7400
akv,Akhvakh,6800
akw,Akwa,52000
akz,Alabama,500
ala,Alago,115000
ald,Alladian,53000
ale,Aleut,5600
alf,Elege,21000
ali,Amaimon,3400
alj,Alangan,3100
alk,Alak,29100
alm,Amblong,400
aln,"Albanian, Gheg",133784000
alo,Larike-Wakasihu,20000
alp,Alune,24000
alq,Algonquin,7500
als,"Albanian, Tosk",96500
alt,"Altai, Southern",88970
alu,Areare,37000
alw,Alaba-K'abeena,549000
alx,Mol,600
aly,Alyawarr,1700
alz,Alur,5822000
amb,Ambo,3400
amc,Amahuaca,1400
ame,Yanesha,9000
amf,Hamer-Banne,141000
amh,Amharic,578518400
ami,Amis,418000
amj,Amdang,372000
amk,Ambai,40000
aml,War-Jaintia,1445800
amm,Sawiyanu,1400
amn,Amanab,8400
amo,Amo,25000
amp,Alamblak,3100
amr,Amarakaeri,2200
ams,"Amami-Oshima, Southern",1700
amt,Amto,700
amu,"Amuzgo, Guerrero",51000
amv,Ambelau,10000
amw,Western Neo-Aramaic,95400
amx,Anmatyerr,700
anc,Ngas,791000
and,Ansus,7800
ane,Xaracuu,6900
anf,Animere,1200
anh,Nend,5500
ani,Andi,30000
anj,Anor,2000
ank,Goemai,434000
anl,"Chin, Anu-Khongso",3700
anm,Anal,24600
ann,Obolo,357000
ano,Andoque,900
anp,Angika,19100
anq,Jarawa,400
anu,Anuak,995400
anv,Denya,37000
anw,Anaang,3294000
anx,Andra-Hus,1900
any,Anyin,3949100
anz,Anem,1300
aoa,Angolar,12000
aoc,Pemon,85500
aod,Andarum,3400
aoe,Angal Enen,58000
aof,Bragat,900
aog,Angoram,16000
aoi,Anindilyakwa,1600
aoj,Mufian,24000
aol,Alor,44000
aom,Omie,3200
aon,Weri,8200
aos,Taikat,3500
aoz,Uab Meto,1706000
apb,Sa'a,24000
apc,"Arabic, Levantine",1265014600
apd,"Arabic, Sudanese",552523500
ape,Bukiyip,31000
apf,"Agta, Pahanan",2100
aph,Athpariya,6500
apj,"Apache, Jicarilla",3300
apm,"Apache, Mescalero-Chiricahua",3300
apn,Apinaye,1900
apo,Ambul,2400
app,Apma,13000
apr,Arop-Lokep,6200
aps,Orop,2600
apt,Apatani,46000
apu,Apurina,7700
apw,"Apache, Western",23000
apy,Apalai,500
apz,Safeyoka,5100
aqc,Archi,2000
aqd,"Dogon, Ampari",12000
aqk,Aninka,600
aqm,Atohwaim,1600
aqn,"Alta, Northern",600
aqr,Arha,200
aqt,Angaite,4200
aqz,Akuntsu,0
are,"Arrarnta, Western",500
arg,Aragonese,2363000
arh,Arhuaco,36000
arl,Arabela,400
arn,Mapudungun,3639000
aro,Araona,200
arp,Arapaho,9000
arq,"Arabic, Algerian",688617500
arr,Karo (Brazil),400
ars,"Arabic, Najdi",122270100
arv,Arbore,13000
arw,Arawak,127500
arx,Arua,100
ary,"Arabic, Moroccan",791310400
arz,"Arabic, Egyptian",-2147483648
asa,Asu (Tanzania),1123000
asb,Assiniboine,11200
asc,"Asmat, Casuarina Coast",14000
ase,American Sign Language,82525350
asf,Auslan,27508450
asg,Cishingini,183000
asi,Buruwai,1300
asj,Sari,14000
ask,Ashkun,54000
asl,Asilulu,14000
asm,Assamese,106483200
asn,Asurini of Xingu,200
aso,Dano,88000
asp,Algerian Sign Language,27508450
asq,Austrian Sign Language,27508450
asr,Asuri,38900
ass,Ipulo,6600
ast,Asturian,1202000
asu,"Asurini, Tocantins",600
asv,Asoa,57000
asx,Muratayak,1500
asy,"Asmat, Yaosakor",3100
asz,As,50
ata,Pele-Ata,4200
atb,Zaiwa,358000
atd,"Manobo, Ata",41000
ate,Mand,100
atg,Ivbie North-Okpela-Arhe,73000
ati,Attie,838000
atj,Atikamekw,6800
atk,Ati,13000
atl,"Agta, Mt. Iraya",600
atn,Ashtiani,28000
ato,Atong (Cameroon),8500
atp,"Atta, Pudtol",1100
atq,Aralle-Tabulahan,19000
atr,Waimiri-Atroari,2000
att,"Atta, Pamplona",1600
atu,Reel,112000
atv,"Altai, Northern",7870
aty,Aneityum,1500
atz,Arta,200
aub,Alugu,3600
auc,Waorani,2930
aud,Anuta,500
aug,Aguna,88000
auh,Aushi,1472000
aui,Anuki,800
auj,Awjilah,2900
auk,Heiyoho,5500
aul,Aulua,1500
aum,Asu (Nigeria),12000
aun,"One, Molmo",1000
aup,Makayam,2600
auq,Anus,1200
aur,Aruek,1400
aut,Austral,6400
auu,Auye,600
auw,Awyi,500
auy,Awiyaana,23000
auz,"Arabic, Uzbeki",240800
ava,Avar,1118000
avb,Avau,1200
avd,Alviri-Vidari,204000
avi,Avikam,48000
avl,"Arabic, Eastern Egyptian Bedawi",5847000
avn,Avatime,35000
avt,Au,16000
avu,Avokaya,302000
awa,Awadhi,18651400
awb,Awa (Papua New Guinea),3900
awc,Cicipu,47000
awe,Aweti,200
awh,Awbono,500
awi,Aekyom,39000
awm,Taupi,400
awn,Awngi,1096700
awo,Awak,14000
aws,"Awyu, South",13000
awt,Arawete,500
awu,"Auyu, Central",10000
awv,"Awyu, Jair",3100
aww,Awun,800
awx,Awara,3000
awy,"Awyu, Edera",5000
axg,"Arara, Mato Grosso",200
axk,Yaka (Central African Republic),144000
axx,Xaragure,900
aya,Awar,2100
ayb,"Gbe, Ayizo",591000
ayc,"Aymara, Southern",259000
aye,Oyuwu,6900
ayg,Ginyanga,17000
ayh,"Arabic, Hadrami",6049000
ayi,Leyigha,22000
ayk,Akuku,3000
ayl,"Arabic, Libyan",42212700
ayn,"Arabic, Sanaani",79840400
ayo,Ayoreo,9600
ayp,"Arabic, North Mesopotamian",97576800
ayq,Ayi,900
ayr,"Aymara, Central",5534000
ayt,"Ayta, Magbukun",1200
ayu,Ayu,1400
ayz,Mai Brat,99000
aza,Azha,58000
azb,"Azerbaijani, South",117675500
