iso639_3,wd_qid,wd_label,egids_status,writing_systems,language_family
cnu,Q33276,Shenwa,7 Shifting,,Zenati languages
rif,Q34174,Tarifit,5 Developing,Latin script,Zenati languages
gid,Q35265,Gidar,5 Developing,,North Biu-Mandara
ank,Q35272,Goemai,6b Threatened,Latin script,West Chadic A
gho,Q35315,Ghomara,6a Vigorous,,Atlas (Amazigh)
hia,Q35700,Lamang,6a Vigorous,,Biu–Mandara
gnc,Q35762,Guanche,,Latin script; Tifinagh,Berber
maf,Q35819,Mafa,5 Developing,Latin script,Biu–Mandara
mzb,Q36149,Mozabite,6b Threatened,Arabic alphabet; Latin script; Tifinagh,Mzab-Wargla
jbn,Q36151,Nafusi,6a Vigorous,Latin script; Tifinagh,Eastern Berber
siz,Q36814,Siwa,6a Vigorous,,Eastern Berber
zen,Q37005,Zenaga,8a Moribund,Berber Arabic alphabet,Western Berber / Amazigh
bxq,Q56238,Ɓeele,6b Threatened,,Bole–Tangale
mrt,Q56241,Margi,6a Vigorous,,
kks,Q56242,Giiwo,6a Vigorous,,
cie,Q56243,Cineni,6b Threatened,,
fli,Q56244,Fali,6a Vigorous,,Biu–Mandara
gqa,Q56245,Ga'anda,,,Teraic
xed,Q56246,Hdi,5 Developing,,Biu–Mandara
mfm,Q56248,Marghi South,6a Vigorous,,
lme,Q56249,Peve,6a Vigorous,,Southern Masa
bvf,Q56250,Boor,6b Threatened,,East Chadic
bta,Q56254,Bata,6a Vigorous,Latin script,Biu–Mandara
gdk,Q56256,Gadang,7 Shifting,,East Chadic
jrt,Q56257,Chakato,Unattested,,
bid,Q56258,Bidiyo,6a Vigorous,,East Chadic
mmy,Q56259,Migaama,5 Developing,,East Chadic
swy,Q56261,Sarua,7 Shifting,,East Chadic
bvw,Q56262,Boga,6a Vigorous,,Teraic
mmf,Q56263,Mundat,6b Threatened,,Ron
ubi,Q56264,Ubi,6b Threatened,,East Chadic
ngx,Q56265,Nggwahyi,6b Threatened,,Bura-Marghi
ttr,Q56267,Tera,6a Vigorous,,Teraic
vem,Q56268,Vemgo-Mabas,6a Vigorous,,
jeu,Q56269,Jonkor Bourmataguil,6b Threatened,,East Chadic
hig,Q56271,Kamwe,5 Developing,,Biu–Mandara
bcw,Q56272,Bana,5 Developing,,Higic
fie,Q56273,Fyer,6a Vigorous,,Ron
bcy,Q56274,Bacama,5 Developing,,Biu–Mandara
dbb,Q56275,Deno,6a Vigorous,,Bole–Tangale
ckl,Q56279,Cibak,6a Vigorous,,Biu–Mandara
bdn,Q56280,Baldemu,10 Extinct,,Giziga
jie,Q56281,Jilbe,8b Nearly Extinct,,Biu–Mandara
zim,Q56282,Mesme,5 Developing,,Southern Masa
ndm,Q56283,Ndam,6a Vigorous,,East Chadic
bva,Q56285,Barein,6a Vigorous,,
bdm,Q56287,Yedina,6a Vigorous,,Buduma-Kotoko
jim,Q56288,Jimi,6a Vigorous,,Biu–Mandara
jaf,Q56289,Jara,6a Vigorous,,Teraic
hbb,Q56290,Huba,6a Vigorous,,
mfl,Q56291,Putai,8b Nearly Extinct,,Bura-Marghi
syk,Q56292,Sukur,6a Vigorous,,
dgh,Q56293,Dghwede,6a Vigorous,,
bvh,Q56294,Bure,8b Nearly Extinct,,Boleic
kbz,Q56295,Duhwa,6b Threatened,,Ron
jia,Q56297,Jina,6b Threatened,,
ziz,Q56300,Zizilivakan,6a Vigorous,,Biu–Mandara
btf,Q56302,Birgit,6a Vigorous,,East Chadic
mfk,Q56303,North Mofu,5 Developing,,
kvj,Q56304,Psikyɛ,5 Developing,,Kamwe
dme,Q56313,Ɗugwor,6a Vigorous,,
mse,Q56328,Musey,5 Developing,,Masa
hod,Q56331,Holma,10 Extinct,,
thz,Q56388,Air Tamajeq,4 Educational,Tifinagh,Tuareg
tia,Q56392,Tidikelt,8a Moribund,,Mzab-Wargla
auj,Q56398,Awjila,8a Moribund,,Eastern Berber
aal,Q56434,Afade,6b Threatened,,Biu–Mandara
hwo,Q56498,Hwana,6a Vigorous,,Teraic
hna,Q56532,Hina,6a Vigorous,,East Chadic
bwr,Q56552,Bura,6b Threatened,Latin script,Biu–Mandara
sds,Q56570,Sened,10 Extinct,,East Zenati
oua,Q56586,Wargli,6b Threatened,Latin script; Tifinagh,Mzab-Wargla
mpg,Q56614,Marba,5 Developing,,Masa
nnn,Q56625,Ngete,6a Vigorous,,Ngeté-Herdé
zuy,Q56626,Zumaya,10 Extinct,,Masa
kgr,Q56657,Abun,6b Threatened,Latin script,
mcn,Q56668,Massa,5 Developing,,Masa
sjs,Q56744,Senhaja de Srair,6b Threatened,Latin script,Atlas (Amazigh)
gha,Q56747,Ghadamès,6b Threatened,Latin script; Tifinagh,Eastern Berber
swq,Q56791,Sharwa,6a Vigorous,,Biu–Mandara
hya,Q56798,Hya,8a Moribund,,
gnd,Q56800,Zulgo-Gemzek,,,Biu–Mandara
kna,Q56811,Kanakuru,5 Developing,Latin script,Tangalic
xad,Q346744,Adai,,,Indigenous languages of the Americas
tan,Q529921,Tangale,6b Threatened,Latin script,Tangalic
daa,Q942591,Dangaléat,5 Developing,,East Chadic
mif,Q1365132,Mofu-Gudur,5 Developing,,Biu–Mandara
lln,Q1641493,Lele,5 Developing,,East Chadic
mlw,Q1965222,Moloko,5 Developing,Latin script,Biu–Mandara
pip,Q2411063,Pero,6a Vigorous,Latin script,Tangalic
glo,Q2598797,Galambu,,,Bole–Tangale
ash,Q2871740,Tequiraca,10 Extinct,,Tequiraca–Canichana
swn,Q2988323,Sokna,10 Extinct,,Eastern Berber
grr,Q3063974,Sud Oranais-Gourara,6b Threatened,,Mzab-Wargla
tmc,Q3121045,Tumak,6a Vigorous,Latin script,East Chadic
mug,Q3123545,Musgu,5 Developing,,Musgu-Mbara
sor,Q3123566,Somrai,5 Developing,,East Chadic
nnc,Q3140491,Nancere,5 Developing,,East Chadic
mpi,Q3280670,Mpade,6b Threatened,,Biu–Mandara
bol,Q3436680,Bole,6a Vigorous,Latin script,Boleic
kpa,Q3437656,Kutto,6b Threatened,,Tangalic
nbh,Q3438705,Ngamo,6a Vigorous,Latin script,Bole–Tangale
kof,Q3438718,Kubi,9 Dormant,,Bole–Tangale
gew,Q3438725,Gera,6a Vigorous,,Bole–Tangale
nmi,Q3438738,Nyam,6b Threatened,,
kuh,Q3438747,Kushi,6a Vigorous,Latin script,Tangalic
kcs,Q3438755,Koenoem,6b Threatened,,Angas
mew,Q3438764,Maaka,6a Vigorous,,Boleic
kai,Q3438770,Karai-karai,6a Vigorous,Latin script,Bole–Tangale
gea,Q3438789,Geruma,,,Bole–Tangale
pcw,Q3438807,Pyapun,6b Threatened,,
scw,Q3438816,Sha,6b Threatened,,Ron
tal,Q3440387,Tal,6a Vigorous,,
tdk,Q3440392,Tambas,6b Threatened,,Ron
kvi,Q3440398,Kwang,6a Vigorous,,East Chadic
moz,Q3440403,Mokilko,5 Developing,,East Chadic
ckq,Q3440422,Kajakse,6a Vigorous,,East Chadic
kvf,Q3440427,Kabalai,6a Vigorous,,East Chadic
cla,Q3440432,Ron,6a Vigorous,Latin script,Ron
muj,Q3440437,Mabire,10 Extinct,,East Chadic
mes,Q3440448,Masmaje,6a Vigorous,,East Chadic
mtl,Q3440457,Montol,6a Vigorous,,
ktc,Q3440464,Kholok,6b Threatened,,
mou,Q3440473,Mogum,6a Vigorous,,
ngw,Q3440480,Ngwaba,8a Moribund,,Biu–Mandara
sur,Q3440486,Mwaghavul,3 Wider Communication,Latin script,Angas
piy,Q3440492,Piya,5 Developing,Latin script,Tangalic
tng,Q3440501,Tobanga,6a Vigorous,,
kul,Q3440506,Kulere,6a Vigorous,,Ron
mub,Q3440518,Mubi,6a Vigorous,,Mubi
ksq,Q3440525,Kwaami,6a Vigorous,,Tangalic
gdu,Q3441172,Gudu,6a Vigorous,,Biu–Mandara
gou,Q3441180,Gawar,6a Vigorous,,
ngs,Q3441188,Gvoko,6a Vigorous,,
cky,Q3441199,Cakfem-Mushere,6a Vigorous,Latin script,Angas
mxu,Q3441206,Maɗa,6a Vigorous,,Biu–Mandara
kqp,Q3441210,Kimré,5 Developing,,
trj,Q3441225,Toram,8a Moribund,,East Chadic
gde,Q3441230,Gude,5 Developing,,Biu–Mandara
gab,Q3441237,Gabri,5 Developing,,East Chadic
mfi,Q3441249,Wandala,5 Developing,,
mjs,Q3441264,Miship,6a Vigorous,,
gek,Q3441277,Youm,6a Vigorous,Latin script,West Chadic A
glw,Q3441285,Glavda,,,Biu–Mandara
nja,Q3441299,Nzanyi,6b Threatened,,Biu–Mandara
sok,Q3441303,Sokoro,6a Vigorous,,East Chadic
mlj,Q3441310,Miltu,8a Moribund,,East Chadic
mcw,Q3441333,Mawa,6a Vigorous,,East Chadic
gdf,Q3441350,Guduf-Gava,,,
mvh,Q3441359,Mire,6a Vigorous,,
zrn,Q3441365,Zirenkel,6b Threatened,Latin script,East Chadic
kwl,Q3441382,Kofyar,6a Vigorous,,Sura-Gerka
